Acc_X0;Acc_Y0;Acc_Z0;Gy_X0;Gy_Y0;De_Y0;De_Y0K;Gyro_Z0;De_Z0;De_Z0K;Yaw;Yaw_k;Pitch;Pitch_K;Acc_X1;Acc_Y1;Acc_Z1;Gy_X1;Gy_Y1;De_Y1;De_Y1K;Gyro_Z1;De_Z1;De_Z1K;Yaw1;Yaw1_k;Pitch1;Pitch1_K
-5,45;-4,81;-4,39;-4966;3170;39,92;66,07;-9001;-31,1;-10,37;-127,12;-126,96;46,28;46,26;-11,6;-0,92;-1,85;1092;669;79,89;68,38;-7143;-9,03;-14,42;-107,35;-107,29;9,21;9,13
-8,57;-2,12;-2,26;2640;984;70,1;68,52;-2715;-14,36;-12,92;-31,15;-31,15;12,9;12,9;-9,69;-0,08;-2,49;1233;-1571;75,6;72,72;-7011;-14,39;-14,58;-105,34;-105,34;-24,98;-24,98
-6,27;-4,37;0,77;-8529;-638;54,73;63,43;2383;5,79;-6,06;46,68;46,63;-11,86;-11,85;-4,28;-5,14;-0,84;-2192;-2121;39,44;60,17;32767;-7,16;-12,05;501,96;501,58;-33,38;-33,38
-8,09;-2,88;-2,64;935;5202;64,25;63,92;-5346;-17,06;-12,84;-71,32;-71,32;77,3;77,3;-9,88;0,44;-3,15;668;1764;72,14;67,58;-2785;-17,68;-14,81;-40,82;-40,82;25,93;25,93
-10,42;-1,87;0,4;4002;-9612;79,6;70,14;5012;2,17;-7,25;86,82;86,72;-148,87;-148,73;-12,26;0,13;-0,19;5956;283;88,91;75,85;-15253;-0,9;-9,56;-231,17;-231,05;3,32;3,33
-11,36;2,8;3,14;1596;-5570;69,68;69,63;3206;15,02;6,79;59,25;59,25;-87,16;-87,16;-11,8;-0,36;0,32;7398;8225;87,66;83,23;-12070;1,53;-2,98;-182,57;-182,57;124,57;124,57
-8,61;-2,7;-1,71;1655;1890;69,64;69,42;-4106;-10,7;0,2;-52,39;-52,32;26,73;26,66;-9,83;-0,9;-2,15;893;-1520;76,64;81;-4769;-12,3;-7,02;-71,11;-71,18;-24,21;-24,11
-9,8;-5,97;-0,38;-2445;-7663;58,61;62,7;9866;-1,88;-1,18;160,93;160,93;-119,11;-119,11;-1,25;-2,42;1,34;-6224;-2224;24,26;65,15;6916;26,14;2,14;107,29;57,71;-34,95;-31,95
-6,22;-7,15;-1,59;-1351;-7020;40,32;53,79;-7305;-9,54;-4;-101,23;-101,06;-109,3;-109,3;-10,15;3,77;0,58;-14514;-2806;69,41;65,98;-11620;3,08;2,52;-175,7;-175,56;-43,84;-43,83
-9,53;-2,53;-2,26;2086;907;70,38;64;-3043;-12,92;-9,73;-36,16;-36,16;11,73;11,73;-11,25;-2,3;-1,24;3860;-2603;76,93;67,8;-10774;-6,15;0,4;-162,79;-166,34;-40,74;-41,6
