Acc_X0,Acc_Y0,Acc_Z0,Gy_X0,Gy_Y0,De_Y0,De_Y0K,Gyro_Z0,De_Z0,De_Z0K,Yaw,Yaw_k,Pitch,Pitch_K,Acc_X1,Acc_Y1,Acc_Z1,Gy_X1,Gy_Y1,De_Y1,De_Y1K,Gyro_Z1,De_Z1,De_Z1K,Yaw1,Yaw1_k,Pitch1,Pitch1_K
-9.06,0.94,-0.85,3785,1432,82.05,81.75,-4774,-5.32,-3.03,-62.59,-64.88,19.74,28.56,-9.93,-0.29,-1.34,3234,114,82.14,75.85,-7510,-7.69,-8.43,-112.96,-102.85,0.74,-0.36
-9.73,0.53,-1.43,4075,649,81.09,81.7,-3402,-8.34,-4.37,-41.64,-41.65,7.79,7.8,-10.48,-1.95,-1.38,4069,198,77.16,76.05,-10208,-7.37,-8.62,-154.15,-154.12,2.02,2.02
-10.15,4.0,-1.35,2682,655,67.43,79.2,-188,-7.08,-4.95,7.43,-6.21,7.88,7.86,-12.02,-0.52,-0.47,3237,2957,86.68,77.49,-14384,-2.22,-8.37,-217.9,-200.18,44.15,32.44
-10.69,0.58,1.67,-424,-8414,80.62,79.44,10260,8.86,-2.88,166.94,166.83,-130.58,-130.49,-13.3,-0.58,-1.68,10357,972,82.4,78.18,-21317,-7.17,-8.94,-323.75,-323.67,13.84,13.85
-11.23,1.68,-0.41,-581,-8268,81.27,80.3,10901,-2.06,-2.12,176.73,176.73,-128.35,-128.35,-4.19,-2.23,-2.93,4008,-6383,48.69,75.03,2636,-31.7,-12.12,41.94,-59.64,-98.45,-67.26
-7.98,0.32,0.35,-10096,893,86.59,82.31,11353,2.51,0.04,183.63,183.62,11.51,11.43,-5.55,-5.01,0.22,-7033,-4059,47.9,72.18,28252,1.71,-11.01,433.03,432.72,-62.97,-62.97
-6.39,-0.11,1.15,-7155,986,79.73,81.65,-823,10.22,3.18,-2.26,49.38,12.93,12.51,-10.72,-4.74,-0.02,-9010,1460,66.14,68.58,32767,-0.1,-3.96,501.96,501.96,21.29,21.29
-8.45,4.56,1.87,1793,1984,59.74,77.0,-6020,11.0,5.01,-81.61,-81.53,28.17,28.16,-12.33,-2.94,-0.84,5420,7135,76.06,71.38,25469,-3.78,-2.63,390.54,390.61,107.93,107.88
-7.81,4.36,2.69,-4605,1804,56.71,64.89,1785,16.77,11.92,37.55,37.55,25.42,25.42,-10.63,-0.77,-1.48,-4500,312,81.06,74.21,-15031,-7.93,-3.41,-227.78,-55.98,3.76,32.69
-14.7,4.68,3.59,663,5543,68.14,66.17,-395,13.09,12.45,4.27,4.29,82.51,82.47,-11.78,-4.97,1.92,-9696,-1127,65.64,72.49,-12058,8.56,-1.04,-182.39,-182.31,-18.21,-18.17
