Aceleracion_X0;Aceleracion_Y0;Aceleracion_Z0;Gyro_X0;Gyro_Y0;Gyro_Z0;Temperatura1;Aceleracion_X1;Aceleracion_Y1;Aceleracion_Z1;Gyro_X1;Gyro_Y1;Gyro_Z1;Temperatura1
-7,85;-1,94;-5,1;-0,64;-0,03;0,38;22,97;-9,59;-1,76;-5,11;-0,29;-0,13;1,51;23,55
-6,29;-3,37;-0,69;-0,64;-0,08;0,86;22,97;-11,43;2,42;-5,72;-0,44;2,04;-5,72;23,53
-8,23;-1,05;-4,16;-0,58;0,22;0,7;22,96;-9;-0,54;-4,61;-0,52;-0,08;0,89;23,52
-7,66;-1,69;-3,93;1,1;0,26;-1,87;22,95;-2,98;4,76;-3,86;2,29;0,21;-2,84;23,52
-7,1;-1,8;-5,48;-0,49;0,33;1,17;22,95;-8,25;-0,58;-6,21;-0,12;1,1;0,95;23,5
-12,38;-0,38;-3,61;1,22;-0,3;-2,14;22,95;-12,64;3,41;-5,26;-1,88;0,06;1,77;23,5
-8,79;3,03;-3,9;-0,06;0,45;0,82;22,95;-9,58;4,03;-5,82;-0,5;1,07;1,56;23,49
-8,52;-0,62;-5,49;-0,5;-0,03;0,48;22,95;-10,45;0,87;-5,56;-0,73;-0,21;1,4;23,5
-5,72;-3,36;-2,18;-0,79;-0,12;0,51;22,94;-11,56;2,89;-5,55;0,23;1,89;-5,26;23,48
-7,31;-1,87;-4,64;-0,26;-0,1;0,9;22,93;-8,93;-1,07;-5,01;-0,38;-0,14;0,9;23,49
-7,56;-2,44;-2,44;0,56;0,09;-1,49;22,92;-3,14;4;-1,92;1,34;0,74;-3,16;23,47
-7,34;-2,98;-5,19;-0,5;-0,38;1,13;22,92;-9,37;-1,23;-5,18;-0,42;-0,29;0,38;23,47
-13,45;-0,94;-4,49;0,49;-0,68;-2,39;22,91;-11,03;6,57;-6,61;-2,3;-0,03;1,71;23,46
-9,43;0,49;-5,39;0,86;0,45;0,53;22,9;-8,49;2,13;-8,01;1,05;1,41;2,26;23,44
-8,11;-4,3;-5,73;-0,29;0,04;0,17;22,9;-11,35;-1,34;-4,85;-0,44;-0,17;1,79;23,45
-4,99;-10,02;-3,48;-0,31;-0,1;0,23;22,88;-12,29;-0,17;-4,25;1,15;0,06;-3,33;23,44
-7,67;-2,69;-4,77;-0,6;-0,15;0,72;22,89;-9,1;-0,43;-5,12;-0,56;-0,12;0,78;23,44
-6,11;-2,43;-4,47;1,48;0,37;-0,79;22,87;-4,43;3,56;-4,62;3,13;0,06;-3,74;23,43
-6,9;-2,92;-5,84;-0,54;0,17;0,89;22,87;-10,12;0,96;-6,33;-0,27;0,97;1,26;23,41
-9,33;-3,97;-3,23;0,8;-0,26;-2,2;22,86;-12,18;1,66;-4,94;-1,18;0,01;2,22;23,42
-10,24;-5,73;-2,36;0,07;0,36;0,7;22,87;-12,29;-5,09;-1,72;1,03;-1,29;0,59;23,4
-7,1;-3,6;-4,97;-0,72;-0,36;0,76;22,87;-9,22;-1,36;-5,33;-0,4;0,01;1,09;23,4
