Acc_X0;Acc_Y0;Acc_Z0;Gy_X0;Gy_Y0;De_Y0;De_Y0K;Gyro_Z0;De_Z0;De_Z0K;Yaw;Yaw_k;Pitch;Pitch_K;Acc_X1;Acc_Y1;Acc_Z1;Gy_X1;Gy_Y1;De_Y1;De_Y1K;Gyro_Z1;De_Z1;De_Z1K;Yaw1;Yaw1_k;Pitch1;Pitch1_K
-9.15;0.11;0.42;543;21;87.28;86.40;-611;2.63;3.42;0.97;0.90;-1.80;-1.59;-9.87;-1.32;-0.25;287;42;82.23;81.91;-94;-1.44;-1.31;0.26;0.04;-0.36;-0.09;
-9.19;0.11;0.54;490;145;86.54;86.39;-641;3.39;3.42;0.51;0.63;0.09;-0.42;-9.91;-1.25;-0.25;252;33;82.67;81.91;-76;-1.44;-1.31;0.54;0.04;-0.50;-0.10;
-9.17;0.16;0.48;634;63;86.82;86.39;-638;3.02;3.42;0.56;0.58;-1.16;-0.93;-9.92;-1.30;-0.24;309;54;82.39;81.91;-117;-1.37;-1.31;-0.09;0.04;-0.18;-0.10;
-9.13;0.07;0.52;345;92;86.71;86.39;-654;3.26;3.42;0.32;0.40;-0.72;-0.78;-9.82;-1.40;-0.18;256;44;81.81;81.91;-79;-1.03;-1.30;0.49;0.04;-0.33;-0.10;
-9.12;0.06;0.53;416;139;86.68;86.39;-656;3.29;3.42;0.28;0.32;0.00;-0.24;-9.84;-1.37;-0.15;216;88;82.06;81.91;-82;-0.84;-1.30;0.45;0.04;0.34;-0.09;
-9.10;0.05;0.54;453;200;86.61;86.39;-677;3.38;3.42;-0.04;0.07;0.93;0.58;-9.89;-1.36;-0.28;276;75;82.02;81.91;-81;-1.62;-1.30;0.46;0.04;0.15;-0.09;
-9.22;0.09;0.54;313;208;86.61;86.39;-706;3.35;3.42;-0.48;-0.31;1.06;0.91;-9.82;-1.37;-0.22;244;81;81.93;81.91;-78;-1.27;-1.30;0.51;0.04;0.24;-0.09;
-9.14;0.09;0.45;415;186;87.12;86.40;-707;2.82;3.42;-0.49;-0.44;0.72;0.78;-9.92;-1.39;-0.25;297;71;81.91;81.91;-129;-1.45;-1.30;-0.27;0.04;0.08;-0.09;
-9.15;0.11;0.43;565;153;87.21;86.40;-735;2.70;3.42;-0.92;-0.78;0.22;0.39;-9.84;-1.38;-0.26;346;70;81.89;81.91;-114;-1.52;-1.30;-0.04;0.04;0.07;-0.09;
-9.18;0.07;0.47;490;133;87.05;86.40;-687;2.92;3.41;-0.19;-0.37;-0.09;0.06;-9.85;-1.43;-0.27;286;61;81.58;81.91;-132;-1.57;-1.30;-0.32;0.04;-0.07;-0.09;
-9.11;0.09;0.47;382;202;87.00;86.41;-688;2.95;3.41;-0.20;-0.25;0.96;0.69;-9.86;-1.39;-0.19;276;54;81.88;81.91;-99;-1.11;-1.30;0.19;0.04;-0.18;-0.09;
-9.18;0.07;0.51;280;155;86.79;86.41;-641;3.19;3.41;0.51;0.28;0.25;0.38;-9.92;-1.28;-0.20;292;40;82.57;81.91;-102;-1.12;-1.30;0.14;0.04;-0.39;-0.09;
-9.16;0.10;0.52;380;215;86.71;86.41;-682;3.24;3.41;-0.11;0.01;1.16;0.93;-9.87;-1.33;-0.22;242;89;82.20;81.91;-91;-1.29;-1.30;0.31;0.04;0.36;-0.09;
-9.22;0.15;0.47;534;139;86.92;86.42;-679;2.93;3.41;-0.07;-0.04;0.00;0.28;-9.92;-1.43;-0.24;302;79;81.72;81.91;-96;-1.35;-1.30;0.23;0.04;0.21;-0.09;
-9.21;0.13;0.44;440;92;87.14;86.42;-679;2.74;3.41;-0.07;-0.06;-0.72;-0.41;-9.82;-1.42;-0.19;333;68;81.71;81.91;-127;-1.12;-1.30;-0.24;0.04;0.04;-0.09;
-9.16;0.09;0.47;502;94;86.98;86.42;-693;2.97;3.41;-0.28;-0.21;-0.68;-0.60;-9.85;-1.37;-0.17;262;51;82.03;81.91;-153;-1.00;-1.30;-0.64;0.04;-0.22;-0.09;
-9.19;0.16;0.46;317;116;86.96;86.42;-654;2.88;3.41;0.32;0.15;-0.35;-0.43;-9.84;-1.36;-0.32;220;57;81.95;81.91;-147;-1.83;-1.30;-0.54;0.04;-0.13;-0.09;
-9.16;0.06;0.54;291;127;86.58;86.42;-692;3.40;3.41;-0.26;-0.14;-0.18;-0.26;-9.89;-1.38;-0.21;200;63;81.98;81.91;-116;-1.23;-1.30;-0.07;0.04;-0.04;-0.09;
-9.18;0.10;0.48;379;162;86.91;86.42;-671;3.02;3.41;0.06;-0.00;0.35;0.17;-9.88;-1.39;-0.32;235;94;81.79;81.91;-119;-1.81;-1.30;-0.12;0.04;0.44;-0.09;
-9.19;0.07;0.40;411;106;87.48;86.42;-677;2.48;3.40;-0.04;-0.03;-0.50;-0.30;-9.93;-1.43;-0.25;303;62;81.71;81.91;-131;-1.43;-1.30;-0.30;0.04;-0.05;-0.09;
-9.19;0.12;0.40;410;32;87.42;86.42;-660;2.46;3.40;0.22;0.15;-1.63;-1.23;-9.89;-1.40;-0.24;244;26;81.84;81.91;-149;-1.38;-1.31;-0.57;0.04;-0.60;-0.09;
-9.20;0.00;0.47;326;126;87.04;86.42;-685;2.96;3.40;-0.16;-0.07;-0.20;-0.51;-9.87;-1.33;-0.21;232;39;82.25;81.91;-161;-1.20;-1.31;-0.76;0.04;-0.40;-0.09;
-9.10;0.05;0.50;451;149;86.82;86.41;-645;3.17;3.40;0.45;0.30;0.15;-0.05;-9.88;-1.39;-0.30;230;48;81.79;81.91;-158;-1.72;-1.31;-0.71;0.04;-0.27;-0.09;
-9.15;0.08;0.43;293;105;87.27;86.42;-668;2.69;3.40;0.10;0.16;-0.52;-0.37;-9.90;-1.39;-0.29;264;80;81.84;81.91;-102;-1.67;-1.31;0.14;0.04;0.22;-0.09;
-9.22;0.09;0.44;438;9;87.20;86.41;-633;2.74;3.40;0.64;0.49;-1.98;-1.49;-9.94;-1.38;-0.28;280;43;81.95;81.91;-149;-1.58;-1.31;-0.57;0.04;-0.34;-0.09;
-9.15;0.07;0.56;479;88;86.45;86.41;-678;3.52;3.40;-0.05;0.11;-0.78;-0.99;-9.91;-1.39;-0.20;186;70;81.92;81.91;-126;-1.12;-1.31;-0.22;0.03;0.07;-0.09;
-9.19;0.11;0.50;520;124;86.79;86.41;-655;3.14;3.40;0.30;0.24;-0.23;-0.46;-9.93;-1.31;-0.25;239;53;82.38;81.91;-104;-1.42;-1.31;0.11;0.03;-0.19;-0.09;
-9.15;-0.02;0.44;298;167;87.27;86.41;-709;2.73;3.40;-0.52;-0.29;0.43;0.16;-9.82;-1.39;-0.23;187;36;81.85;81.90;-121;-1.32;-1.31;-0.15;0.03;-0.45;-0.09;
-9.17;-0.01;0.42;413;117;87.39;86.41;-628;2.60;3.40;0.71;0.41;-0.33;-0.18;-9.90;-1.42;-0.21;265;73;81.74;81.90;-83;-1.22;-1.31;0.43;0.04;0.11;-0.09;
-9.12;0.10;0.45;464;65;87.11;86.41;-645;2.83;3.40;0.45;0.44;-1.13;-0.84;-9.85;-1.44;-0.28;270;90;81.52;81.90;-105;-1.61;-1.31;0.10;0.04;0.37;-0.09;
-9.12;0.08;0.46;409;157;87.09;86.41;-645;2.86;3.40;0.45;0.45;0.28;-0.06;-9.87;-1.36;-0.27;261;48;82.02;81.90;-117;-1.55;-1.31;-0.09;0.03;-0.27;-0.09;
-9.15;0.04;0.42;380;149;87.36;86.41;-630;2.63;3.40;0.68;0.61;0.15;0.09;-9.88;-1.42;-0.25;198;28;81.69;81.90;-133;-1.41;-1.31;-0.33;0.03;-0.57;-0.09;
-9.13;0.07;0.57;487;88;86.39;86.41;-649;3.59;3.40;0.39;0.46;-0.78;-0.51;-9.88;-1.25;-0.21;317;56;82.66;81.90;-120;-1.22;-1.31;-0.13;0.03;-0.15;-0.09;
-9.20;0.02;0.56;378;108;86.51;86.41;-669;3.49;3.40;0.09;0.20;-0.47;-0.48;-9.88;-1.37;-0.22;238;47;81.98;81.90;-116;-1.26;-1.31;-0.07;0.03;-0.28;-0.09;
-9.15;0.10;0.52;411;116;86.68;86.41;-665;3.25;3.40;0.15;0.16;-0.35;-0.39;-9.88;-1.50;-0.27;211;64;81.24;81.90;-80;-1.56;-1.31;0.48;0.03;-0.02;-0.09;
-9.19;0.11;0.47;-90;163;87.01;86.41;-658;2.91;3.40;0.25;0.23;0.37;0.14;-9.88;-1.42;-0.23;20;7;81.74;81.90;-132;-1.33;-1.31;-0.32;0.03;-0.89;-0.10;
-9.20;-0.10;0.47;837;123;86.98;86.41;-611;2.95;3.41;0.97;0.75;-0.24;-0.13;-9.87;-1.37;-0.26;531;63;81.94;81.90;-56;-1.50;-1.31;0.85;0.04;-0.04;-0.09;
-9.09;0.19;0.52;754;102;86.53;86.41;-614;3.26;3.41;0.93;0.87;-0.56;-0.43;-9.88;-1.32;-0.24;442;49;82.26;81.90;-70;-1.36;-1.31;0.63;0.04;-0.25;-0.10;
-9.12;0.04;0.45;98;150;87.16;86.41;-666;2.83;3.41;0.13;0.36;0.17;-0.01;-9.87;-1.29;-0.16;83;57;82.49;81.90;-81;-0.95;-1.31;0.46;0.04;-0.13;-0.09;
-9.20;0.08;0.57;380;124;86.43;86.41;-632;3.53;3.41;0.65;0.56;-0.23;-0.16;-9.84;-1.27;-0.16;184;49;82.61;81.90;-80;-0.90;-1.31;0.48;0.04;-0.25;-0.09;
-9.21;0.10;0.54;455;-14;86.61;86.41;-599;3.34;3.41;1.15;0.97;-2.33;-1.67;-9.90;-1.39;-0.19;334;64;81.95;81.90;-120;-1.07;-1.31;-0.13;0.04;-0.02;-0.09;
-9.19;-0.03;0.52;678;-30;86.74;86.40;-635;3.26;3.42;0.61;0.72;-2.58;-2.30;-9.84;-1.39;-0.25;517;77;81.81;81.90;-65;-1.45;-1.30;0.71;0.04;0.18;-0.09;
-9.12;0.19;0.49;506;84;86.70;86.39;-682;3.07;3.42;-0.11;0.14;-0.84;-1.28;-9.89;-1.23;-0.28;381;51;82.74;81.90;-63;-1.62;-1.30;0.74;0.04;-0.22;-0.09;
-9.16;0.10;0.47;447;86;86.97;86.39;-620;2.97;3.42;0.83;0.62;-0.81;-0.95;-9.88;-1.30;-0.22;405;87;82.39;81.90;-82;-1.25;-1.30;0.45;0.04;0.33;-0.09;
-9.14;0.21;0.54;436;157;86.34;86.39;-582;3.41;3.42;1.41;1.17;0.28;-0.10;-9.86;-1.27;-0.24;332;31;82.55;81.90;-130;-1.40;-1.30;-0.28;0.04;-0.53;-0.09;
-9.13;0.14;0.49;216;116;86.80;86.39;-604;3.07;3.43;1.08;1.11;-0.35;-0.27;-9.93;-1.42;-0.24;76;96;81.74;81.90;-127;-1.35;-1.30;-0.24;0.04;0.47;-0.09;
-9.21;0.16;0.49;379;120;86.80;86.39;-626;3.04;3.43;0.74;0.85;-0.29;-0.28;-9.85;-1.37;-0.33;182;69;81.86;81.90;-145;-1.87;-1.31;-0.51;0.04;0.05;-0.09;
-9.16;0.16;0.41;377;173;87.23;86.39;-674;2.58;3.43;0.01;0.27;0.52;0.28;-9.98;-1.33;-0.24;175;28;82.31;81.90;-131;-1.35;-1.31;-0.30;0.04;-0.57;-0.09;
-9.16;0.12;0.58;174;209;86.26;86.39;-690;3.65;3.43;-0.23;-0.08;1.07;0.83;-9.85;-1.43;-0.23;189;14;81.62;81.90;-94;-1.33;-1.31;0.26;0.04;-0.79;-0.09;
-9.15;0.05;0.51;285;141;86.79;86.39;-711;3.20;3.43;-0.55;-0.41;0.03;0.27;-9.89;-1.40;-0.36;216;23;81.69;81.90;-156;-2.06;-1.31;-0.68;0.04;-0.65;-0.10;
-9.25;0.13;0.45;410;145;87.09;86.40;-646;2.81;3.43;0.44;0.18;0.09;0.15;-9.87;-1.32;-0.23;231;27;82.24;81.90;-202;-1.31;-1.31;-1.38;0.03;-0.59;-0.10;
-9.11;0.12;0.49;282;131;86.85;86.40;-681;3.06;3.43;-0.10;-0.01;-0.12;-0.04;-9.82;-1.35;-0.23;198;24;82.08;81.90;-200;-1.35;-1.31;-1.35;0.03;-0.63;-0.10;
-9.11;-0.01;0.50;351;201;86.88;86.40;-727;3.12;3.43;-0.80;-0.56;0.95;0.65;-9.90;-1.31;-0.18;229;73;82.37;81.90;-113;-1.03;-1.31;-0.03;0.03;0.11;-0.10;
-9.17;0.15;0.46;389;123;86.98;86.40;-688;2.88;3.42;-0.20;-0.31;-0.24;0.03;-9.83;-1.23;-0.24;288;101;82.73;81.90;-138;-1.38;-1.31;-0.41;0.03;0.54;-0.09;
-9.20;0.11;0.50;359;186;86.84;86.40;-680;3.09;3.42;-0.08;-0.15;0.72;0.51;-9.83;-1.29;-0.31;237;68;82.34;81.90;-143;-1.78;-1.31;-0.48;0.03;0.04;-0.09;
-9.18;-0.00;0.44;115;99;87.25;86.41;-653;2.75;3.42;0.33;0.18;-0.61;-0.27;-9.86;-1.44;-0.22;296;55;81.60;81.90;-170;-1.28;-1.32;-0.90;0.03;-0.16;-0.09;
-9.14;0.10;0.52;508;217;86.69;86.41;-708;3.26;3.42;-0.51;-0.30;1.19;0.75;-9.86;-1.43;-0.18;261;45;81.69;81.90;-118;-1.02;-1.32;-0.10;0.03;-0.31;-0.09;
-9.21;0.10;0.52;427;142;86.70;86.41;-662;3.23;3.42;0.19;0.04;0.05;0.26;-9.86;-1.31;-0.26;306;104;82.26;81.90;-168;-1.47;-1.32;-0.86;0.03;0.59;-0.09;
-9.16;0.09;0.43;554;123;87.24;86.41;-671;2.71;3.42;0.06;0.05;-0.24;-0.09;-9.90;-1.54;-0.22;292;100;81.07;81.90;-46;-1.24;-1.32;1.00;0.03;0.53;-0.09;
-9.09;0.09;0.42;335;132;87.29;86.41;-679;2.66;3.41;-0.07;-0.03;-0.10;-0.10;-9.85;-1.47;-0.27;307;63;81.36;81.90;-54;-1.55;-1.31;0.88;0.03;-0.04;-0.09;
-9.18;0.14;0.46;474;22;87.01;86.41;-690;2.85;3.41;-0.23;-0.17;-1.78;-1.27;-9.82;-1.35;-0.29;275;78;82.02;81.90;-71;-1.68;-1.31;0.62;0.03;0.19;-0.09;
-9.11;0.08;0.42;572;184;87.29;86.41;-702;2.67;3.41;-0.42;-0.34;0.69;0.09;-9.89;-1.35;-0.35;299;65;82.00;81.90;-64;-2.02;-1.31;0.72;0.03;-0.01;-0.09;
-9.16;0.11;0.56;327;175;86.42;86.41;-659;3.52;3.41;0.24;0.06;0.55;0.41;-9.82;-1.33;-0.33;259;56;82.07;81.90;-110;-1.92;-1.31;0.02;0.03;-0.15;-0.09;
-9.19;-0.02;0.58;417;143;86.37;86.41;-672;3.63;3.41;0.04;0.05;0.06;0.17;-9.88;-1.42;-0.34;234;47;81.59;81.90;-95;-1.96;-1.32;0.25;0.03;-0.28;-0.09;
-9.13;-0.03;0.40;601;141;87.48;86.42;-669;2.51;3.41;0.09;0.07;0.03;0.07;-9.83;-1.40;-0.37;210;41;81.64;81.89;-123;-2.15;-1.32;-0.18;0.03;-0.37;-0.09;
-9.15;0.08;0.50;437;140;86.82;86.42;-685;3.14;3.41;-0.16;-0.09;0.02;0.03;-9.83;-1.39;-0.31;267;64;81.73;81.89;-146;-1.79;-1.32;-0.53;0.03;-0.02;-0.09;
-9.16;0.14;0.50;395;131;86.76;86.42;-684;3.12;3.41;-0.14;-0.13;-0.12;-0.07;-9.94;-1.29;-0.24;232;62;82.49;81.90;-116;-1.35;-1.32;-0.07;0.03;-0.05;-0.09;
-9.17;-0.00;0.52;338;188;86.74;86.42;-741;3.26;3.41;-1.01;-0.74;0.75;0.50;-9.89;-1.41;-0.16;300;75;81.82;81.89;-66;-0.92;-1.32;0.69;0.03;0.15;-0.09;
-9.18;0.04;0.51;356;159;86.82;86.42;-682;3.17;3.40;-0.11;-0.30;0.31;0.37;-9.87;-1.37;-0.26;236;33;81.94;81.89;-156;-1.48;-1.32;-0.68;0.03;-0.50;-0.09;
-9.16;0.06;0.44;463;153;87.23;86.43;-669;2.74;3.40;0.09;-0.03;0.22;0.26;-9.87;-1.48;-0.20;267;55;81.41;81.89;-152;-1.12;-1.32;-0.62;0.03;-0.16;-0.09;
-9.17;0.07;0.39;390;175;87.54;86.43;-665;2.41;3.40;0.15;0.09;0.55;0.46;-9.84;-1.50;-0.25;205;33;81.23;81.89;-163;-1.44;-1.32;-0.79;0.03;-0.50;-0.09;
-9.18;0.00;0.50;376;114;86.89;86.43;-670;3.11;3.40;0.07;0.08;-0.38;-0.12;-9.90;-1.43;-0.26;193;83;81.66;81.89;-139;-1.48;-1.32;-0.42;0.03;0.27;-0.09;
-9.19;0.05;0.42;488;81;87.35;86.43;-694;2.63;3.40;-0.30;-0.18;-0.88;-0.65;-9.87;-1.44;-0.28;251;48;81.52;81.89;-140;-1.62;-1.32;-0.44;0.03;-0.27;-0.09;
-9.15;-0.01;0.51;263;211;86.79;86.43;-733;3.21;3.39;-0.89;-0.68;1.10;0.57;-9.84;-1.42;-0.21;233;45;81.73;81.89;-53;-1.18;-1.32;0.89;0.03;-0.31;-0.10;
-9.17;0.05;0.43;498;79;87.30;86.43;-659;2.68;3.39;0.24;-0.04;-0.91;-0.46;-9.89;-1.47;-0.23;327;63;81.45;81.89;-142;-1.34;-1.32;-0.47;0.03;-0.04;-0.10;
-9.21;-0.01;0.47;395;201;87.08;86.44;-674;2.92;3.39;0.01;-0.00;0.95;0.52;-9.90;-1.52;-0.27;239;62;81.15;81.89;-130;-1.53;-1.32;-0.28;0.03;-0.05;-0.10;
-9.12;0.03;0.43;344;114;87.32;86.44;-645;2.68;3.39;0.45;0.31;-0.38;-0.11;-9.84;-1.41;-0.25;238;77;81.72;81.88;-90;-1.42;-1.32;0.33;0.03;0.18;-0.10;
-9.15;0.08;0.58;413;159;86.32;86.44;-701;3.64;3.39;-0.40;-0.19;0.31;0.18;-9.92;-1.38;-0.32;230;82;81.86;81.89;-90;-1.83;-1.32;0.33;0.03;0.25;-0.09;
-9.11;0.04;0.50;302;129;86.83;86.44;-688;3.16;3.39;-0.20;-0.20;-0.15;-0.05;-9.84;-1.48;-0.28;272;65;81.27;81.88;-142;-1.60;-1.32;-0.47;0.03;-0.01;-0.09;
-9.10;0.04;0.33;334;177;87.90;86.44;-710;2.08;3.39;-0.54;-0.44;0.58;0.39;-9.86;-1.48;-0.24;249;64;81.33;81.88;-134;-1.39;-1.32;-0.35;0.03;-0.02;-0.09;
-9.19;0.05;0.45;614;181;87.16;86.45;-681;2.82;3.38;-0.10;-0.20;0.64;0.57;-9.80;-1.44;-0.15;263;73;81.59;81.88;-140;-0.87;-1.32;-0.44;0.03;0.11;-0.09;
-9.23;0.01;0.46;384;143;87.13;86.45;-672;2.87;3.38;0.04;-0.03;0.06;0.22;-9.87;-1.44;-0.25;144;53;81.56;81.88;-137;-1.44;-1.32;-0.39;0.03;-0.19;-0.10;
-9.21;-0.04;0.38;517;108;87.60;86.45;-686;2.39;3.38;-0.17;-0.13;-0.47;-0.26;-9.84;-1.48;-0.30;282;79;81.28;81.88;-116;-1.72;-1.33;-0.07;0.03;0.21;-0.09;
-9.18;0.06;0.39;466;143;87.56;86.45;-678;2.41;3.38;-0.05;-0.08;0.06;-0.04;-9.79;-1.36;-0.34;297;88;81.84;81.88;-127;-1.95;-1.33;-0.24;0.03;0.34;-0.09;
-9.21;0.05;0.43;436;111;87.28;86.45;-710;2.70;3.37;-0.54;-0.40;-0.43;-0.31;-9.85;-1.48;-0.35;225;37;81.20;81.88;-81;-2.02;-1.33;0.46;0.03;-0.44;-0.10;
-9.14;-0.01;0.41;494;82;87.46;86.45;-702;2.54;3.37;-0.42;-0.41;-0.87;-0.70;-9.93;-1.41;-0.35;321;68;81.69;81.88;-45;-2.01;-1.33;1.01;0.03;0.04;-0.10;
-9.17;0.05;0.43;302;137;87.28;86.45;-629;2.70;3.37;0.70;0.36;-0.03;-0.23;-9.90;-1.40;-0.29;245;27;81.77;81.88;-140;-1.64;-1.33;-0.44;0.03;-0.59;-0.10;
-9.20;-0.05;0.49;420;133;86.94;86.45;-672;3.04;3.37;0.04;0.14;-0.09;-0.13;-9.85;-1.45;-0.35;253;47;81.39;81.87;-83;-1.99;-1.33;0.43;0.03;-0.28;-0.10;
-9.21;0.02;0.53;551;132;86.74;86.46;-667;3.26;3.37;0.12;0.12;-0.10;-0.11;-9.81;-1.51;-0.35;262;66;81.01;81.87;-85;-2.00;-1.33;0.40;0.03;0.01;-0.10;
-9.16;0.01;0.39;521;132;87.55;86.46;-703;2.44;3.37;-0.43;-0.26;-0.10;-0.11;-9.85;-1.42;-0.33;288;85;81.59;81.87;-61;-1.91;-1.33;0.77;0.03;0.30;-0.10;
-9.19;0.04;0.38;319;132;87.60;86.46;-655;2.39;3.37;0.30;0.13;-0.10;-0.11;-9.80;-1.48;-0.31;225;52;81.25;81.87;-75;-1.77;-1.33;0.55;0.03;-0.21;-0.10;
-9.24;0.05;0.40;424;181;87.53;86.46;-668;2.45;3.36;0.10;0.11;0.64;0.42;-9.80;-1.43;-0.30;250;51;81.50;81.87;-85;-1.73;-1.33;0.40;0.03;-0.22;-0.10;
-9.14;0.03;0.49;257;81;86.90;86.46;-620;3.09;3.36;0.83;0.61;-0.88;-0.49;-9.84;-1.46;-0.29;248;64;81.43;81.87;-116;-1.65;-1.33;-0.07;0.03;-0.02;-0.10;
-9.19;-0.01;0.56;484;104;86.54;86.46;-613;3.46;3.37;0.94;0.84;-0.53;-0.52;-9.87;-1.48;-0.17;246;68;81.44;81.87;-91;-1.00;-1.33;0.31;0.03;0.04;-0.10;
-9.17;0.08;0.51;419;134;86.77;86.46;-666;3.19;3.37;0.13;0.35;-0.07;-0.21;-9.86;-1.34;-0.31;246;69;82.06;81.87;-76;-1.77;-1.33;0.54;0.03;0.05;-0.10;
-9.21;0.05;0.42;569;77;87.37;86.46;-714;2.61;3.37;-0.60;-0.31;-0.94;-0.72;-9.84;-1.37;-0.23;315;58;82.00;81.87;-84;-1.32;-1.33;0.42;0.03;-0.11;-0.10;
-9.18;0.05;0.42;362;129;87.36;86.46;-671;2.62;3.37;0.06;-0.06;-0.15;-0.32;-9.84;-1.39;-0.32;275;29;81.75;81.87;-94;-1.85;-1.33;0.26;0.03;-0.56;-0.10;
-9.12;0.03;0.42;474;113;87.34;86.46;-659;2.65;3.36;0.24;0.15;-0.39;-0.37;-9.88;-1.45;-0.19;299;15;81.60;81.86;-79;-1.08;-1.33;0.49;0.03;-0.77;-0.10;
-9.15;-0.02;0.50;496;133;86.86;86.46;-691;3.14;3.36;-0.25;-0.13;-0.09;-0.18;-9.82;-1.44;-0.25;321;7;81.51;81.86;-30;-1.45;-1.32;1.24;0.03;-0.89;-0.10;
-9.14;0.04;0.41;211;134;87.41;86.46;-641;2.58;3.36;0.51;0.32;-0.07;-0.10;-9.86;-1.37;-0.21;190;55;82.01;81.86;-34;-1.18;-1.32;1.18;0.03;-0.16;-0.10;
-9.20;0.10;0.52;349;48;86.68;86.46;-594;3.25;3.36;1.23;0.95;-1.39;-1.00;-9.87;-1.29;-0.28;232;70;82.41;81.86;-59;-1.61;-1.32;0.80;0.03;0.07;-0.10;
-9.22;0.07;0.48;549;83;86.98;86.46;-590;2.99;3.37;1.29;1.19;-0.85;-0.90;-9.84;-1.40;-0.23;256;54;81.79;81.86;-139;-1.31;-1.32;-0.42;0.03;-0.18;-0.10;
-9.18;0.04;0.52;539;123;86.75;86.46;-634;3.24;3.37;0.62;0.79;-0.24;-0.44;-9.85;-1.42;-0.27;304;67;81.64;81.86;-146;-1.54;-1.32;-0.53;0.03;0.02;-0.10;
-9.16;0.04;0.48;648;122;86.96;86.45;-678;3.03;3.37;-0.05;0.20;-0.26;-0.31;-9.90;-1.33;-0.32;315;84;82.14;81.86;-78;-1.84;-1.32;0.51;0.03;0.28;-0.10;
-9.12;0.10;0.45;632;139;87.11;86.46;-669;2.83;3.37;0.09;0.12;0.00;-0.09;-9.90;-1.41;-0.21;263;40;81.80;81.86;-84;-1.19;-1.32;0.42;0.03;-0.39;-0.10;
-9.21;-0.00;0.49;577;104;86.96;86.46;-719;3.04;3.37;-0.68;-0.43;-0.53;-0.40;-9.84;-1.46;-0.38;316;60;81.30;81.86;-30;-2.22;-1.32;1.24;0.03;-0.08;-0.10;
-9.20;0.08;0.40;522;117;87.48;86.46;-675;2.46;3.37;-0.01;-0.14;-0.33;-0.35;-9.88;-1.45;-0.18;281;23;81.59;81.86;-72;-1.05;-1.32;0.60;0.03;-0.65;-0.10;
-9.18;0.07;0.41;431;106;87.41;86.46;-662;2.56;3.37;0.19;0.09;-0.50;-0.46;-9.85;-1.37;-0.30;370;60;81.90;81.86;-121;-1.71;-1.32;-0.15;0.03;-0.08;-0.10;
-9.14;-0.00;0.46;402;175;87.13;86.46;-701;2.87;3.37;-0.40;-0.25;0.55;0.25;-9.85;-1.37;-0.24;249;43;81.98;81.86;-103;-1.36;-1.32;0.13;0.03;-0.34;-0.10;
-9.17;0.06;0.52;429;151;86.76;86.46;-708;3.22;3.36;-0.51;-0.43;0.19;0.20;-9.86;-1.36;-0.24;278;35;82.04;81.86;-140;-1.38;-1.32;-0.44;0.03;-0.47;-0.10;
-9.10;0.06;0.42;271;178;87.35;86.46;-699;2.63;3.36;-0.37;-0.39;0.60;0.48;-9.85;-1.34;-0.22;242;26;82.17;81.86;-138;-1.25;-1.32;-0.41;0.03;-0.60;-0.10;
-9.15;0.06;0.48;348;107;87.00;86.46;-664;2.98;3.36;0.16;-0.01;-0.49;-0.19;-9.85;-1.35;-0.25;229;75;82.09;81.86;-116;-1.44;-1.32;-0.07;0.03;0.15;-0.10;
-9.22;0.03;0.50;366;134;86.90;86.46;-694;3.09;3.36;-0.30;-0.21;-0.07;-0.11;-9.82;-1.39;-0.36;168;19;81.70;81.85;-172;-2.06;-1.32;-0.93;0.03;-0.71;-0.10;
-9.15;0.03;0.53;428;110;86.65;86.46;-676;3.34;3.36;-0.02;-0.08;-0.44;-0.34;-9.91;-1.39;-0.14;234;10;81.96;81.85;-153;-0.81;-1.32;-0.64;0.03;-0.85;-0.10;
-9.17;-0.05;0.46;354;113;87.12;86.46;-673;2.86;3.36;0.03;-0.01;-0.39;-0.38;-9.91;-1.46;-0.27;250;42;81.50;81.85;-147;-1.52;-1.33;-0.54;0.03;-0.36;-0.10;
-9.18;0.08;0.41;274;147;87.43;86.46;-671;2.53;3.35;0.06;0.04;0.12;-0.03;-9.86;-1.39;-0.22;226;44;81.87;81.85;-147;-1.28;-1.33;-0.54;0.03;-0.33;-0.10;
-9.20;-0.02;0.45;376;183;87.22;86.47;-640;2.78;3.35;0.53;0.38;0.67;0.46;-9.85;-1.41;-0.29;205;59;81.67;81.85;-133;-1.68;-1.33;-0.33;0.03;-0.10;-0.10;
-9.15;-0.03;0.47;282;83;87.05;86.47;-643;2.94;3.35;0.48;0.45;-0.85;-0.45;-9.84;-1.42;-0.22;221;53;81.68;81.85;-108;-1.25;-1.33;0.05;0.03;-0.19;-0.10;
-9.13;0.04;0.60;433;68;86.25;86.47;-655;3.74;3.36;0.30;0.35;-1.08;-0.89;-9.89;-1.48;-0.21;284;105;81.41;81.85;-74;-1.22;-1.33;0.57;0.03;0.60;-0.10;
-9.17;0.01;0.43;473;101;87.31;86.46;-620;2.69;3.36;0.83;0.69;-0.58;-0.67;-9.87;-1.37;-0.23;284;99;82.00;81.85;-75;-1.33;-1.32;0.55;0.03;0.51;-0.10;
-9.16;0.01;0.43;375;106;87.32;86.46;-650;2.68;3.36;0.38;0.47;-0.50;-0.55;-9.90;-1.45;-0.31;265;71;81.46;81.85;-40;-1.79;-1.32;1.09;0.03;0.08;-0.10;
